Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
72	72	3303	3216	3228	3256	3232	3265	3250	3327	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
73	73	3303	3216	3228	3256	3247	3265	3250	3329	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
74	74	3303	3216	3228	3255	3247	3263	3250	3327	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
75	75	3304	3216	3228	3256	3247	3264	3254	3327	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
76	76	3304	3216	3228	3256	3247	3263	3250	3327	3212	3180	47	1182	3200	3072	3182	000	000	0	0	000	
77	77	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3184	000	000	0	0	000	
78	78	3303	3216	3228	3256	3247	3263	3251	3327	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
79	79	3304	3216	3228	3256	3247	3265	3251	3327	3211	3180	47	1184	3200	3072	3182	000	000	0	0	000	
80	80	3303	3216	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
81	81	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
82	82	3303	3217	3228	3256	3247	3264	3251	3328	3211	3180	47	1182	3200	3072	3182	000	000	0	0	000	
83	83	3304	3216	3228	3256	3247	3264	3251	3328	3210	3180	111	1183	3200	3072	3183	000	000	0	0	000	
84	84	3304	3216	3228	3256	3247	3264	3251	3328	3210	3180	48	1183	3200	3072	3183	000	000	0	0	000	
85	85	3304	3217	3228	3256	3247	3263	3251	3328	3211	3180	47	1183	3200	3072	3184	000	000	0	0	000	
86	86	3304	3216	3228	3257	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
87	87	3303	3216	3228	3255	3247	3264	3250	3327	3210	3180	47	1183	3200	3072	3182	000	000	0	0	000	
88	88	3304	3216	3228	3256	3247	3264	3251	3329	3211	3180	47	1184	3200	3072	3187	000	000	0	0	000	
89	89	3304	3217	3228	3255	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
90	90	3304	3216	3228	3255	3247	3264	3254	3328	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
91	91	3304	3217	3228	3255	3247	3264	3251	3327	3211	3180	47	1183	3200	3072	3183	000	000	0	0	000	
92	92	3303	3217	3228	3255	3247	3264	3251	3327	3211	3181	47	1183	3200	3072	3183	000	000	0	0	000	
93	93	3303	3217	3229	3255	3247	3264	3251	3327	3212	3181	47	1182	3200	3072	3187	000	000	0	0	000	
94	94	3304	3217	3228	3256	3247	3264	3251	3328	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
95	95	3304	3218	3228	3257	3247	3264	3255	3329	3210	3180	47	1183	3200	3072	3183	000	000	0	0	000	
96	96	3303	3217	3228	3255	3247	3264	3250	3327	3210	3180	1072	1182	3200	3072	3182	000	000	0	0	000	
97	97	3303	3216	3228	3255	3247	3264	3250	3327	3209	3180	47	1182	3200	3072	3182	000	000	0	0	000	
98	98	3303	3216	3228	3256	3247	3264	3250	3329	3210	3180	47	1182	3200	3072	3182	000	000	0	0	000	
99	99	3303	3217	3228	3257	3258	3264	3250	3328	3212	3180	47	1183	3200	3072	3182	000	000	0	0	000	
