Sample in Buffer	Sample in Window	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	counter0	pufout	mux1_out	clockcounter_out
169	169	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	000	
170	170	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	000	
171	171	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	000	
172	172	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	000	
173	173	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	000	
174	174	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	000	
175	175	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	000	
176	176	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	000	
177	177	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	000	
178	178	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	000	
179	179	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	000	
180	180	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	000	
181	181	0	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	000	
182	182	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	000	
183	183	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	000	
184	184	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	000	
185	185	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	000	
186	186	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	000	
187	187	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	000	
188	188	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	000	
189	189	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	000	
190	190	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	000	
191	191	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	000	
192	192	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1	000	
193	193	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	000	
194	194	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	000	
195	195	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	000	
196	196	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	000	
197	197	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	000	
198	198	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	000	
199	199	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	000	
200	200	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	000	
201	201	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	1	000	
202	202	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	000	
203	203	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	000	
204	204	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	000	
205	205	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	000	
206	206	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	000	
207	207	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	000	
208	208	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	000	
209	209	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	000	
210	210	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	000	
211	211	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	000	
212	212	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	000	
213	213	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	000	
214	214	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	000	
215	215	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	000	
216	216	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	000	
217	217	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	000	
218	218	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	000	
219	219	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	000	
220	220	0	1	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	000	
221	221	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	000	
222	222	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	000	
223	223	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	000	
224	224	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	000	
225	225	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	000	
226	226	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	000	
227	227	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	000	
228	228	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	000	
229	229	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	000	
230	230	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	000	
231	231	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	000	
232	232	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	000	
233	233	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	000	
234	234	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	000	
235	235	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	000	
236	236	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	000	
237	237	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	000	
238	238	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	000	
239	239	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	000	
